Date : 2026-05-03 15:54:37
Directory : c:\Users\ankit\Downloads\xace
Total : 395 files,  29606 codes, 10382 comments, 5760 blanks, all 45748 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| packages\core\src\mutation                                                                                             |          5 |      1,326 |        557 |        236 |      2,119 |
| packages\core\src\runtime                                                                                              |          6 |      1,635 |        700 |        302 |      2,637 |
| packages\core\src\schema                                                                                               |          7 |      1,731 |        865 |        381 |      2,977 |
| packages\core\src\ucl                                                                                                  |         27 |      2,155 |      1,065 |        499 |      3,719 |
| packages\core\src\wire                                                                                                 |          6 |      1,475 |        686 |        309 |      2,470 |
| packages\dcl                                                                                                           |         19 |      4,075 |        957 |        413 |      5,445 |
| packages\dcl (Files)                                                                                                   |          6 |      1,964 |        809 |        376 |      3,149 |
| packages\dcl\ai                                                                                                        |          1 |        174 |         12 |          3 |        189 |
| packages\dcl\audio                                                                                                     |          1 |        146 |         11 |          3 |        160 |
| packages\dcl\camera                                                                                                    |          1 |        131 |         10 |          3 |        144 |
| packages\dcl\character                                                                                                 |          1 |        257 |         15 |          3 |        275 |
| packages\dcl\combat                                                                                                    |          1 |        213 |         12 |          2 |        227 |
| packages\dcl\interaction                                                                                               |          1 |        153 |         11 |          3 |        167 |
| packages\dcl\network                                                                                                   |          1 |        113 |         10 |          3 |        126 |
| packages\dcl\persistence                                                                                               |          1 |        146 |         11 |          3 |        160 |
| packages\dcl\physics                                                                                                   |          1 |        160 |         11 |          3 |        174 |
| packages\dcl\rpg                                                                                                       |          1 |        162 |         12 |          3 |        177 |
| packages\dcl\stealth                                                                                                   |          1 |        116 |         10 |          3 |        129 |
| packages\dcl\ui                                                                                                        |          1 |        114 |         10 |          2 |        126 |
| packages\dcl\world                                                                                                     |          1 |        226 |         13 |          3 |        242 |
| packages\engine-adapter                                                                                                |         20 |      3,280 |      1,141 |        678 |      5,099 |
| packages\engine-adapter\src                                                                                            |         20 |      3,280 |      1,141 |        678 |      5,099 |
| packages\engine-adapter\src (Files)                                                                                    |          1 |          3 |          2 |          2 |          7 |
| packages\engine-adapter\src\adapter_contract                                                                           |          3 |          2 |          2 |          3 |          7 |
| packages\engine-adapter\src\delta_sync                                                                                 |          6 |          5 |          5 |          6 |         16 |
| packages\engine-adapter\src\tests                                                                                      |          3 |          0 |          3 |          3 |          6 |
| packages\engine-adapter\src\transport                                                                                  |          7 |      3,270 |      1,129 |        664 |      5,063 |
| packages\gde                                                                                                           |         45 |          0 |         45 |         45 |         90 |
| packages\gde\src                                                                                                       |         45 |          0 |         45 |         45 |         90 |
| packages\gde\src (Files)                                                                                               |          2 |          0 |          2 |          2 |          4 |
| packages\gde\src\cgs                                                                                                   |          4 |          0 |          4 |          4 |          8 |
| packages\gde\src\consistency_validator                                                                                 |          5 |          0 |          5 |          5 |         10 |
| packages\gde\src\domain_dsl                                                                                            |         14 |          0 |         14 |         14 |         28 |
| packages\gde\src\domain_dsl (Files)                                                                                    |          1 |          0 |          1 |          1 |          2 |
| packages\gde\src\domain_dsl\mutation_metadata                                                                          |          2 |          0 |          2 |          2 |          4 |
| packages\gde\src\domain_dsl\path_addressing                                                                            |          3 |          0 |          3 |          3 |          6 |
| packages\gde\src\domain_dsl\rule_grammar                                                                               |          3 |          0 |          3 |          3 |          6 |
| packages\gde\src\domain_dsl\transaction_model                                                                          |          3 |          0 |          3 |          3 |          6 |
| packages\gde\src\domain_dsl\usmc                                                                                       |          2 |          0 |          2 |          2 |          4 |
| packages\gde\src\mode_profiles                                                                                         |          4 |          0 |          4 |          4 |          8 |
| packages\gde\src\prompt_interpretation                                                                                 |          7 |          0 |          7 |          7 |         14 |
| packages\gde\src\question_engine                                                                                       |          4 |          0 |          4 |          4 |          8 |
| packages\gde\src\tests                                                                                                 |          5 |          0 |          5 |          5 |         10 |
| packages\prompt-intelligence                                                                                           |         72 |          0 |         72 |         72 |        144 |
| packages\prompt-intelligence\src                                                                                       |         72 |          0 |         72 |         72 |        144 |
| packages\prompt-intelligence\src (Files)                                                                               |          2 |          0 |          2 |          2 |          4 |
| packages\prompt-intelligence\src\clarification_engine                                                                  |          4 |          0 |          4 |          4 |          8 |
| packages\prompt-intelligence\src\code_generation                                                                       |          7 |          0 |          7 |          7 |         14 |
| packages\prompt-intelligence\src\context_assembler                                                                     |          8 |          0 |          8 |          8 |         16 |
| packages\prompt-intelligence\src\critique_engine                                                                       |          2 |          0 |          2 |          2 |          4 |
| packages\prompt-intelligence\src\history_manager                                                                       |          3 |          0 |          3 |          3 |          6 |
| packages\prompt-intelligence\src\intent_intake                                                                         |          6 |          0 |          6 |          6 |         12 |
| packages\prompt-intelligence\src\llm_orchestrator                                                                      |          8 |          0 |          8 |          8 |         16 |
| packages\prompt-intelligence\src\memory_model                                                                          |          7 |          0 |          7 |          7 |         14 |
| packages\prompt-intelligence\src\mode_controller                                                                       |          3 |          0 |          3 |          3 |          6 |
| packages\prompt-intelligence\src\mutation_planner                                                                      |          3 |          0 |          3 |          3 |          6 |
| packages\prompt-intelligence\src\output_parser                                                                         |          4 |          0 |          4 |          4 |          8 |
| packages\prompt-intelligence\src\safety_scope_guard                                                                    |          7 |          0 |          7 |          7 |         14 |
| packages\prompt-intelligence\src\tests                                                                                 |          6 |          0 |          6 |          6 |         12 |
| packages\prompt-intelligence\src\validation_loop                                                                       |          2 |          0 |          2 |          2 |          4 |
| packages\runtime-core                                                                                                  |         62 |     10,464 |      2,730 |      1,930 |     15,124 |
| packages\runtime-core\src                                                                                              |         62 |     10,464 |      2,730 |      1,930 |     15,124 |
| packages\runtime-core\src (Files)                                                                                      |          1 |         10 |          2 |          2 |         14 |
| packages\runtime-core\src\component_tables                                                                             |          6 |      1,096 |        246 |        206 |      1,548 |
| packages\runtime-core\src\component_tables (Files)                                                                     |          4 |        867 |        233 |        151 |      1,251 |
| packages\runtime-core\src\component_tables\tests                                                                       |          2 |        229 |         13 |         55 |        297 |
| packages\runtime-core\src\dcl                                                                                          |          8 |      1,187 |        231 |        206 |      1,624 |
| packages\runtime-core\src\dcl (Files)                                                                                  |          1 |          1 |          0 |          0 |          1 |
| packages\runtime-core\src\dcl\character                                                                                |          7 |      1,186 |        231 |        206 |      1,623 |
| packages\runtime-core\src\dcl\character (Files)                                                                        |          4 |        963 |        220 |        172 |      1,355 |
| packages\runtime-core\src\dcl\character\tests                                                                          |          3 |        223 |         11 |         34 |        268 |
| packages\runtime-core\src\determinism_guard                                                                            |          7 |      2,467 |        798 |        491 |      3,756 |
| packages\runtime-core\src\determinism_guard (Files)                                                                    |          5 |      1,876 |        703 |        383 |      2,962 |
| packages\runtime-core\src\determinism_guard\tests                                                                      |          2 |        591 |         95 |        108 |        794 |
| packages\runtime-core\src\entity_store                                                                                 |          5 |      1,011 |        283 |        185 |      1,479 |
| packages\runtime-core\src\entity_store (Files)                                                                         |          4 |        690 |        262 |        130 |      1,082 |
| packages\runtime-core\src\entity_store\tests                                                                           |          1 |        321 |         21 |         55 |        397 |
| packages\runtime-core\src\event_bus                                                                                    |          6 |        660 |        156 |        130 |        946 |
| packages\runtime-core\src\event_bus (Files)                                                                            |          4 |        517 |        141 |        101 |        759 |
| packages\runtime-core\src\event_bus\tests                                                                              |          2 |        143 |         15 |         29 |        187 |
| packages\runtime-core\src\mutation_gate                                                                                |          6 |        990 |        217 |        147 |      1,354 |
| packages\runtime-core\src\mutation_gate (Files)                                                                        |          4 |        820 |        195 |        121 |      1,136 |
| packages\runtime-core\src\mutation_gate\tests                                                                          |          2 |        170 |         22 |         26 |        218 |
| packages\runtime-core\src\phase_orchestrator                                                                           |          7 |        936 |        203 |        140 |      1,279 |
| packages\runtime-core\src\phase_orchestrator (Files)                                                                   |          5 |        860 |        200 |        133 |      1,193 |
| packages\runtime-core\src\phase_orchestrator\tests                                                                     |          2 |         76 |          3 |          7 |         86 |
| packages\runtime-core\src\query_engine                                                                                 |          5 |        473 |        156 |         84 |        713 |
| packages\runtime-core\src\query_engine (Files)                                                                         |          3 |        372 |        147 |         71 |        590 |
| packages\runtime-core\src\query_engine\tests                                                                           |          2 |        101 |          9 |         13 |        123 |
| packages\runtime-core\src\snapshot_engine                                                                              |          6 |      1,044 |        251 |        215 |      1,510 |
| packages\runtime-core\src\snapshot_engine (Files)                                                                      |          4 |        922 |        241 |        185 |      1,348 |
| packages\runtime-core\src\snapshot_engine\tests                                                                        |          2 |        122 |         10 |         30 |        162 |
| packages\runtime-core\src\time_controller                                                                              |          5 |        590 |        187 |        124 |        901 |
| packages\runtime-core\src\time_controller (Files)                                                                      |          3 |        508 |        180 |        112 |        800 |
| packages\runtime-core\src\time_controller\tests                                                                        |          2 |         82 |          7 |         12 |        101 |
| packages\schema-factory                                                                                                |         28 |          0 |         28 |         28 |         56 |
| packages\schema-factory\src                                                                                            |         28 |          0 |         28 |         28 |         56 |
| packages\schema-factory\src (Files)                                                                                    |          3 |          0 |          3 |          3 |          6 |
| packages\schema-factory\src\component_registry                                                                         |          3 |          0 |          3 |          3 |          6 |
| packages\schema-factory\src\diff_migration                                                                             |          3 |          0 |          3 |          3 |          6 |
| packages\schema-factory\src\entity_blueprint                                                                           |          4 |          0 |          4 |          4 |          8 |
| packages\schema-factory\src\mode_composition                                                                           |          3 |          0 |          3 |          3 |          6 |
| packages\schema-factory\src\system_registry                                                                            |          3 |          0 |          3 |          3 |          6 |
| packages\schema-factory\src\tests                                                                                      |          3 |          0 |          3 |          3 |          6 |
| packages\schema-factory\src\validation                                                                                 |          3 |          0 |          3 |          3 |          6 |
| packages\schema-factory\src\versioning                                                                                 |          3 |          0 |          3 |          3 |          6 |
| packages\system-graph-compiler                                                                                         |         30 |         24 |         24 |         31 |         79 |
| packages\system-graph-compiler\src                                                                                     |         30 |         24 |         24 |         31 |         79 |
| packages\system-graph-compiler\src (Files)                                                                             |          3 |          9 |          4 |          4 |         17 |
| packages\system-graph-compiler\src\conflict_analyzer                                                                   |          3 |          2 |          2 |          3 |          7 |
| packages\system-graph-compiler\src\cycle_detection                                                                     |          3 |          2 |          2 |          3 |          7 |
| packages\system-graph-compiler\src\dependency_resolution                                                               |          3 |          2 |          2 |          3 |          7 |
| packages\system-graph-compiler\src\graph_construction                                                                  |          5 |          4 |          4 |          5 |         13 |
| packages\system-graph-compiler\src\parallelization                                                                     |          2 |          1 |          1 |          2 |          4 |
| packages\system-graph-compiler\src\phase_segmentation                                                                  |          3 |          2 |          2 |          3 |          7 |
| packages\system-graph-compiler\src\scheduler                                                                           |          3 |          2 |          2 |          3 |          7 |
| packages\system-graph-compiler\src\tests                                                                               |          5 |          0 |          5 |          5 |         10 |
| tests                                                                                                                  |         13 |          7 |         12 |         15 |         34 |
| tests\determinism                                                                                                      |         12 |          0 |         12 |         12 |         24 |
| tests\fixtures                                                                                                         |          1 |          7 |          0 |          3 |         10 |
| workspace                                                                                                              |          9 |         35 |          7 |          9 |         51 |
| workspace\builder                                                                                                      |          9 |         35 |          7 |          9 |         51 |
| workspace\builder (Files)                                                                                              |          2 |         35 |          0 |          2 |         37 |
| workspace\builder\src                                                                                                  |          7 |          0 |          7 |          7 |         14 |
| workspace\builder\src (Files)                                                                                          |          1 |          0 |          1 |          1 |          2 |
| workspace\builder\src\bottom_bar                                                                                       |          1 |          0 |          1 |          1 |          2 |
| workspace\builder\src\canvas                                                                                           |          1 |          0 |          1 |          1 |          2 |
| workspace\builder\src\command_palette                                                                                  |          1 |          0 |          1 |          1 |          2 |
| workspace\builder\src\graph_view                                                                                       |          1 |          0 |          1 |          1 |          2 |
| workspace\builder\src\preview                                                                                          |          1 |          0 |          1 |          1 |          2 |
| workspace\builder\src\sidebar                                                                                          |          1 |          0 |          1 |          1 |          2 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                               | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\ankit\Downloads\xace\CLAUDE.md                                                                                | Markdown           |        316 |          0 |         90 |        406 |
| c:\Users\ankit\Downloads\xace\MASTER_PLAN.md                                                                           | Markdown           |        651 |          0 |        151 |        802 |
| c:\Users\ankit\Downloads\xace\README.md                                                                                | Markdown           |         46 |          0 |         14 |         60 |
| c:\Users\ankit\Downloads\xace\adapters\unity\XaceConsoleWidget.cs                                                      | C#                 |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\adapters\unity\XaceDeltaApplicator.cs                                                    | C#                 |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\adapters\unity\XaceInputCollector.cs                                                     | C#                 |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\adapters\unity\XaceTransport.cs                                                          | C#                 |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\adapters\unreal\XaceConsoleWidget.cpp                                                    | C++                |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\adapters\unreal\XaceConsoleWidget.h                                                      | C++                |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\adapters\unreal\XaceDeltaApplicator.cpp                                                  | C++                |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\adapters\unreal\XaceDeltaApplicator.h                                                    | C++                |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\adapters\unreal\XaceInputCollector.cpp                                                   | C++                |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\adapters\unreal\XaceInputCollector.h                                                     | C++                |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\adapters\unreal\XaceTransport.cpp                                                        | C++                |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\adapters\unreal\XaceTransport.h                                                          | C++                |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\docs\00_philosophy.md                                                                    | Markdown           |          2 |          0 |          2 |          4 |
| c:\Users\ankit\Downloads\xace\docs\01_system_overview.md                                                               | Markdown           |          2 |          0 |          2 |          4 |
| c:\Users\ankit\Downloads\xace\docs\02_canonical_data_models.md                                                         | Markdown           |          2 |          0 |          2 |          4 |
| c:\Users\ankit\Downloads\xace\docs\03_module_specs.md                                                                  | Markdown           |          2 |          0 |          2 |          4 |
| c:\Users\ankit\Downloads\xace\docs\04_contracts.md                                                                     | Markdown           |          2 |          0 |          2 |          4 |
| c:\Users\ankit\Downloads\xace\docs\05_mutation_lifecycle.md                                                            | Markdown           |          2 |          0 |          2 |          4 |
| c:\Users\ankit\Downloads\xace\docs\06_determinism_guarantees.md                                                        | Markdown           |          2 |          0 |          2 |          4 |
| c:\Users\ankit\Downloads\xace\docs\07_global_invariants.md                                                             | Markdown           |          2 |          0 |          2 |          4 |
| c:\Users\ankit\Downloads\xace\docs\08_failure_classification.md                                                        | Markdown           |          2 |          0 |          2 |          4 |
| c:\Users\ankit\Downloads\xace\docs\09_state_machines.md                                                                | Markdown           |          2 |          0 |          2 |          4 |
| c:\Users\ankit\Downloads\xace\docs\10_versioning_and_build_order.md                                                    | Markdown           |          2 |          0 |          2 |          4 |
| c:\Users\ankit\Downloads\xace\package.json                                                                             | JSON               |         12 |          0 |          1 |         13 |
| c:\Users\ankit\Downloads\xace\packages\__init__.py                                                                     | Python             |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\core\src\assets\asset_reference.rs                                              | Rust               |        122 |         84 |         27 |        233 |
| c:\Users\ankit\Downloads\xace\packages\core\src\assets\asset_status.rs                                                 | Rust               |        119 |         88 |         26 |        233 |
| c:\Users\ankit\Downloads\xace\packages\core\src\assets\asset_type.rs                                                   | Rust               |        133 |         77 |         30 |        240 |
| c:\Users\ankit\Downloads\xace\packages\core\src\assets\mod.rs                                                          | Rust               |          6 |          3 |          2 |         11 |
| c:\Users\ankit\Downloads\xace\packages\core\src\contracts\interfaces.rs                                                | Rust               |        314 |        399 |        109 |        822 |
| c:\Users\ankit\Downloads\xace\packages\core\src\contracts\mod.rs                                                       | Rust               |         16 |          2 |          2 |         20 |
| c:\Users\ankit\Downloads\xace\packages\core\src\entity_id.rs                                                           | Rust               |         63 |         69 |         20 |        152 |
| c:\Users\ankit\Downloads\xace\packages\core\src\entity_metadata.rs                                                     | Rust               |        178 |         93 |         36 |        307 |
| c:\Users\ankit\Downloads\xace\packages\core\src\entity_state.rs                                                        | Rust               |        100 |         67 |         21 |        188 |
| c:\Users\ankit\Downloads\xace\packages\core\src\errors\determinism_error.rs                                            | Rust               |        363 |        140 |         68 |        571 |
| c:\Users\ankit\Downloads\xace\packages\core\src\errors\mod.rs                                                          | Rust               |          4 |          2 |          2 |          8 |
| c:\Users\ankit\Downloads\xace\packages\core\src\errors\xace_error.rs                                                   | Rust               |        386 |        181 |         59 |        626 |
| c:\Users\ankit\Downloads\xace\packages\core\src\events\event_struct.rs                                                 | Rust               |        310 |        142 |         55 |        507 |
| c:\Users\ankit\Downloads\xace\packages\core\src\events\event_type.rs                                                   | Rust               |        195 |        120 |         50 |        365 |
| c:\Users\ankit\Downloads\xace\packages\core\src\events\mod.rs                                                          | Rust               |          4 |          2 |          2 |          8 |
| c:\Users\ankit\Downloads\xace\packages\core\src\lib.rs                                                                 | Rust               |         11 |          3 |          2 |         16 |
| c:\Users\ankit\Downloads\xace\packages\core\src\mutation\dsl_operation.rs                                              | Rust               |        457 |        175 |         70 |        702 |
| c:\Users\ankit\Downloads\xace\packages\core\src\mutation\mod.rs                                                        | Rust               |          8 |          3 |          2 |         13 |
| c:\Users\ankit\Downloads\xace\packages\core\src\mutation\mutation_transaction.rs                                       | Rust               |        427 |        163 |         78 |        668 |
| c:\Users\ankit\Downloads\xace\packages\core\src\mutation\schema_delta.rs                                               | Rust               |        307 |         99 |         57 |        463 |
| c:\Users\ankit\Downloads\xace\packages\core\src\mutation\usmc_categories.rs                                            | Rust               |        127 |        117 |         29 |        273 |
| c:\Users\ankit\Downloads\xace\packages\core\src\runtime\execution_group.rs                                             | Rust               |        279 |        100 |         38 |        417 |
| c:\Users\ankit\Downloads\xace\packages\core\src\runtime\execution_plan.rs                                              | Rust               |        340 |        128 |         61 |        529 |
| c:\Users\ankit\Downloads\xace\packages\core\src\runtime\mod.rs                                                         | Rust               |         10 |          2 |          2 |         14 |
| c:\Users\ankit\Downloads\xace\packages\core\src\runtime\phase_enum.rs                                                  | Rust               |        179 |         89 |         32 |        300 |
| c:\Users\ankit\Downloads\xace\packages\core\src\runtime\state_delta.rs                                                 | Rust               |        324 |        155 |         66 |        545 |
| c:\Users\ankit\Downloads\xace\packages\core\src\runtime\world_snapshot.rs                                              | Rust               |        503 |        226 |        103 |        832 |
| c:\Users\ankit\Downloads\xace\packages\core\src\schema\actor_definition.rs                                             | Rust               |        298 |        149 |         61 |        508 |
| c:\Users\ankit\Downloads\xace\packages\core\src\schema\canonical_game_schema.rs                                        | Rust               |        266 |        133 |         57 |        456 |
| c:\Users\ankit\Downloads\xace\packages\core\src\schema\game_mode.rs                                                    | Rust               |        191 |        106 |         44 |        341 |
| c:\Users\ankit\Downloads\xace\packages\core\src\schema\mod.rs                                                          | Rust               |         12 |          2 |          3 |         17 |
| c:\Users\ankit\Downloads\xace\packages\core\src\schema\rule_definition.rs                                              | Rust               |        304 |        167 |         64 |        535 |
| c:\Users\ankit\Downloads\xace\packages\core\src\schema\system_definition.rs                                            | Rust               |        347 |        153 |         70 |        570 |
| c:\Users\ankit\Downloads\xace\packages\core\src\schema\world_definition.rs                                             | Rust               |        313 |        155 |         82 |        550 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\ai_component.rs                                                    | Rust               |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\animation_component.rs                                             | Rust               |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\authority_component.rs                                             | Rust               |        210 |        111 |         50 |        371 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\camera_component.rs                                                | Rust               |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\collider_component.rs                                              | Rust               |        211 |        102 |         58 |        371 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\damage_component.rs                                                | Rust               |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\event_component.rs                                                 | Rust               |        196 |        128 |         43 |        367 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\game_state_component.rs                                            | Rust               |        237 |        109 |         58 |        404 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\health_component.rs                                                | Rust               |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\identity_component.rs                                              | Rust               |        159 |         71 |         31 |        261 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\input_component.rs                                                 | Rust               |        152 |         93 |         39 |        284 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\interaction_component.rs                                           | Rust               |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\inventory_component.rs                                             | Rust               |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\lifetime_component.rs                                              | Rust               |        208 |         87 |         41 |        336 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\mod.rs                                                             | Rust               |         26 |          1 |          1 |         28 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\movement_intent_component.rs                                       | Rust               |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\persistence_component.rs                                           | Rust               |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\render_component.rs                                                | Rust               |        182 |        104 |         44 |        330 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\rigidbody_component.rs                                             | Rust               |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\spawner_component.rs                                               | Rust               |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\stats_component.rs                                                 | Rust               |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\surface_properties_component.rs                                    | Rust               |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\transform_component.rs                                             | Rust               |        111 |         46 |         27 |        184 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\trigger_zone_component.rs                                          | Rust               |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\ucl_registry.rs                                                    | Rust               |        289 |        119 |         54 |        462 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\velocity_component.rs                                              | Rust               |        174 |         79 |         38 |        291 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\world_streaming_component.rs                                       | Rust               |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\packages\core\src\wire\delta_payload.rs                                                  | Rust               |        347 |        153 |         74 |        574 |
| c:\Users\ankit\Downloads\xace\packages\core\src\wire\feedback_payload.rs                                               | Rust               |        287 |        171 |         81 |        539 |
| c:\Users\ankit\Downloads\xace\packages\core\src\wire\message_type.rs                                                   | Rust               |        129 |         88 |         26 |        243 |
| c:\Users\ankit\Downloads\xace\packages\core\src\wire\mod.rs                                                            | Rust               |         10 |          2 |          2 |         14 |
| c:\Users\ankit\Downloads\xace\packages\core\src\wire\snapshot_payload.rs                                               | Rust               |        329 |        142 |         68 |        539 |
| c:\Users\ankit\Downloads\xace\packages\core\src\wire\wire_message.rs                                                   | Rust               |        373 |        130 |         58 |        561 |
| c:\Users\ankit\Downloads\xace\packages\dcl\__init__.py                                                                 | Python             |          0 |          1 |          0 |          1 |
| c:\Users\ankit\Downloads\xace\packages\dcl\ai\__init__.py                                                              | Python             |        174 |         12 |          3 |        189 |
| c:\Users\ankit\Downloads\xace\packages\dcl\audio\__init__.py                                                           | Python             |        146 |         11 |          3 |        160 |
| c:\Users\ankit\Downloads\xace\packages\dcl\camera\__init__.py                                                          | Python             |        131 |         10 |          3 |        144 |
| c:\Users\ankit\Downloads\xace\packages\dcl\character\__init__.py                                                       | Python             |        257 |         15 |          3 |        275 |
| c:\Users\ankit\Downloads\xace\packages\dcl\combat\__init__.py                                                          | Python             |        213 |         12 |          2 |        227 |
| c:\Users\ankit\Downloads\xace\packages\dcl\dcl_loader.py                                                               | Python             |        356 |        215 |         87 |        658 |
| c:\Users\ankit\Downloads\xace\packages\dcl\dcl_registry.py                                                             | Python             |        500 |        185 |         79 |        764 |
| c:\Users\ankit\Downloads\xace\packages\dcl\domain_package.py                                                           | Python             |        349 |        145 |         74 |        568 |
| c:\Users\ankit\Downloads\xace\packages\dcl\gcl_loader.py                                                               | Python             |        357 |        144 |         65 |        566 |
| c:\Users\ankit\Downloads\xace\packages\dcl\gcl_validator.py                                                            | Python             |        402 |        119 |         71 |        592 |
| c:\Users\ankit\Downloads\xace\packages\dcl\interaction\__init__.py                                                     | Python             |        153 |         11 |          3 |        167 |
| c:\Users\ankit\Downloads\xace\packages\dcl\network\__init__.py                                                         | Python             |        113 |         10 |          3 |        126 |
| c:\Users\ankit\Downloads\xace\packages\dcl\persistence\__init__.py                                                     | Python             |        146 |         11 |          3 |        160 |
